City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
288,Moissala,TD,8.3404,17.7663,71.91,95,100,2.17,moderate rain
289,Ponta Do Sol,PT,32.6667,-17.1,74.01,74,28,6.87,scattered clouds
290,Baykit,RU,61.67,96.37,50.31,91,100,1.48,overcast clouds
291,Oranjestad,AW,12.524,-70.027,85.95,70,40,14.97,scattered clouds
292,Tungor,RU,53.3808,142.9564,57.04,86,100,13.51,overcast clouds
293,Ushumun,RU,52.7833,126.5333,65.59,86,99,4.65,overcast clouds
294,Zholymbet,KZ,51.7433,71.7122,68.34,53,36,4.99,scattered clouds
295,Manoel Urbano,BR,-8.8389,-69.2597,83.14,66,100,2.44,overcast clouds
296,Sao Filipe,CV,14.8961,-24.4956,75.36,76,8,11.88,clear sky
297,Srandakan,ID,-7.9386,110.2506,75.56,91,45,7.0,scattered clouds
298,Hofn,IS,64.2539,-15.2082,47.7,88,68,5.28,broken clouds
299,Kamaishi,JP,39.2667,141.8833,69.44,95,100,4.09,light rain
300,Tsumeb,NA,-19.2333,17.7167,59.32,30,0,9.98,clear sky
301,Plettenberg Bay,ZA,-34.0527,23.3716,56.7,82,96,4.21,overcast clouds
302,Trimbak,IN,19.9333,73.55,69.4,98,100,14.03,moderate rain
303,Price,US,39.5994,-110.8107,90.66,19,0,5.75,clear sky
304,Jizan,SA,17.3333,42.6667,90.54,56,93,6.87,overcast clouds
305,Nome,US,64.5011,-165.4064,60.17,87,20,8.05,few clouds
306,Guerrero Negro,MX,27.9769,-114.0611,75.54,58,4,16.33,clear sky
307,Lethem,GY,3.3803,-59.7968,82.06,79,86,2.13,heavy intensity rain
308,Saldanha,ZA,-33.0117,17.9442,50.05,86,0,10.8,clear sky
309,Olafsvik,IS,64.8945,-23.7142,50.67,73,84,2.01,broken clouds
310,Tayshet,RU,55.9342,98.0044,47.8,87,100,1.77,overcast clouds
311,Durant,US,33.994,-96.3708,100.72,28,0,11.5,clear sky
312,Kautokeino,NO,69.0125,23.0412,55.89,97,100,14.12,light rain
313,Takoradi,GH,4.8845,-1.7554,75.38,88,51,9.33,broken clouds
